Manufacturer,Model Name,Device Name,Model Code,GPU,Form Factor,System on Chip,Total MEM,ABIs,OpenGL ES Versions,SDK
Ulefone,Armor_X5,Armor X5,Armor_X5,Mali-G71MP2,Phone,Mediatek MT6761,2819MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28
Umidigi,Power,Power,Power,PowerVR Rogue GE8320,Phone,Mediatek MT6765,3752MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28
Umidigi,A3S,A3S,A3S,PowerVR Rogue GE8300,Phone,Mediatek MT6761,1815MB,arm64-v8a;armeabi;armeabi-v7a,3.2,29
Umidigi,A5 Pro,A5_Pro,A5_Pro,Mali-G71MP2,Phone,Mediatek MT6763,3839MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28
Umidigi,A3X,A3X,A3X,PowerVR Rogue GE8300,Phone,Mediatek MT6761,2819MB,arm64-v8a;armeabi;armeabi-v7a,3.2,29
Umidigi,Power_3_EEA,Power 3,Power_3,Mali-G72 MP3MP3,Phone,Mediatek MT6771,3741MB,arm64-v8a;armeabi;armeabi-v7a,3.2,29
Umidigi,S2PRO,S2_PRO,S2_PRO,Mali-T880MP2,Phone,Mediatek MT6757V,1684MB,arm64-v8a;armeabi;armeabi-v7a,3.2,24
Umidigi,A7 Pro,A7 Pro,A7_Pro,Mali-G71 MP2MP2,Phone,Mediatek MT6763,3826MB,arm64-v8a;armeabi;armeabi-v7a,3.2,29
Umidigi,S5_Pro_EEA,S5 Pro,S5_Pro,Mali-G76 MC4MP4,Phone,Mediatek MT6785,1572MB,arm64-v8a;armeabi;armeabi-v7a,3.2,29
Umidigi,A3_Pro,A3_Pro,A3_Pro,PowerVR Rogue GE8100,Phone,Mediatek MT6739WW,2859-2878MB,arm64-v8a;armeabi;armeabi-v7a,3.2,27;28
Vankyo,S20,S20,S20,PowerVR Rogue GE8322,Tablet,Spreadtrum SC9863A,2824MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28
Vankyo,S20_EEA,S20_EEA,S20_EEA,PowerVR Rogue GE8322,Tablet,Spreadtrum SC9863A,2824MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28
Vankyo,S30,S30,S30,PowerVR Rogue GE8322,Tablet,Spreadtrum SC9863A,2824MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28
Vernee,M3,M3,M3,PowerVR Rogue GE8100,Phone,Mediatek MT6763,2884MB,arm64-v8a;armeabi;armeabi-v7a,3.2,27
Vernee,Thor E,Thor E,Thor_E,Mali-T720MP3,Phone,Mediatek MT6753,2873MB,arm64-v8a;armeabi;armeabi-v7a,3.1,24
Vernee,X2_euro,X2_euro,X2_euro,PowerVR Rogue GE8100,Phone,Mediatek MT6739WW,2911MB,armeabi;armeabi-v7a,3.2,28
Vernee,MIX 2,M2,M2,Mali-T880MP2,Phone,Mediatek MT6757CD,3800MB,arm64-v8a;armeabi;armeabi-v7a,3.2,24
Vernee,X1,X1,X1_PRO,Mali-G71MP2,Phone,Mediatek MT6763,1698MB,arm64-v8a;armeabi;armeabi-v7a,3.2,25
Vertex,S1,G1701,GlocalMe_S1,Adreno (TM) 510,Phone,Qualcomm MSM8976,3616MB,arm64-v8a;armeabi;armeabi-v7a,3.2,25
Vestel,Venus Z10,Venus Z10,Reys,Adreno (TM) 505,Phone,Qualcomm MSM8940,3583-3604MB,arm64-v8a;armeabi;armeabi-v7a,3.2,25;27
Vestel,Vestel Z20,Venus Z20,Cunda,Adreno (TM) 508,Phone,Qualcomm SDM630,3740MB,arm64-v8a;armeabi;armeabi-v7a,3.2,26
Vestel,Venus Z40,Venus Z40,Poyraz,Mali-G72 MP3MP3,Phone,Mediatek MT6771,3725MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28
Vestel,Venus_V4,Venus_V4,V4,Mali-T720MP1,Phone,Mediatek MT6737,2908MB,arm64-v8a;armeabi;armeabi-v7a,3.1,24
Vestel,Venus V7,Venus V7,Pardus,PowerVR Rogue GE8320,Phone,Mediatek MT6762,2827MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28
Vestel,Venus E5,Venus e5,Lodos,Mali-G71MP2,Phone,Mediatek MT6763,2816MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28
Vestel,Venus Z30,Venus Z30,Troia,Mali-G71MP2,Phone,Mediatek MT6763,3805MB,arm64-v8a;armeabi;armeabi-v7a,3.2,27
Vivo,X50 Pro,vivo 1940,2006,Adreno (TM) 620,Phone,Qualcomm SM7250,3353-3354MB,arm64-v8a;armeabi;armeabi-v7a,3.2,29
Vivo,vivo 1910,vivo 1910,1910,Adreno (TM) 612,Phone,Qualcomm SM6150,3491-3504MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28;29
Vivo,vivo  Y85A,vivo Y85A,PD1730,Adreno (TM) 506,Phone,Qualcomm SDM450,3563MB,arm64-v8a;armeabi;armeabi-v7a,3.2,27
Vivo,vivo 1906,vivo 1906,1906,Adreno (TM) 505,Phone,Qualcomm SDM439,2821MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28
Vivo,vivo 1920,vivo 1920_20,1920,Adreno (TM) 610,Phone,Qualcomm SM6125,3512-3634MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28;29
Vivo,vivo 1920,vivo 1920,1920,Adreno (TM) 610,Phone,Qualcomm SM6125,3512-3634MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28;29
Vivo,vivo NEX A,vivo NEX A,PD1806,Adreno (TM) 616,Phone,Qualcomm SDM710,1520-2880MB,arm64-v8a;armeabi;armeabi-v7a,3.2,27;28;29
Vivo,X9,vivo X9,PD1616,Adreno (TM) 506,Phone,Qualcomm MSM8953,3560-3590MB,arm64-v8a;armeabi;armeabi-v7a,3.1;3.2,23;25;27
Vivo,V1986A,V1986A,PD1986,Mali-G77MP9,Phone,Mediatek MT6889,3288MB,arm64-v8a;armeabi;armeabi-v7a,3.2,29
Vivo,vivo 1727,vivo 1727,1727,Adreno (TM) 506,Phone,Qualcomm SDM450,3564-3566MB,arm64-v8a;armeabi;armeabi-v7a,3.2,27;28
Vivo,V1901A,V1901A,PD1901,PowerVR Rogue GE8320,Phone,Mediatek MT6765,3730MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28
